location_name,location_id,ihme_loc_id,level,region_name,super_region_name
Shimane,35455,JPN_35455,4,High-income Asia Pacific,High-income
Shizuoka,35445,JPN_35445,4,High-income Asia Pacific,High-income
Tochigi,35432,JPN_35432,4,High-income Asia Pacific,High-income
Tokushima,35459,JPN_35459,4,High-income Asia Pacific,High-income
Tōkyō,35436,JPN_35436,4,High-income Asia Pacific,High-income
Tottori,35454,JPN_35454,4,High-income Asia Pacific,High-income
Toyama,35439,JPN_35439,4,High-income Asia Pacific,High-income
Wakayama,35453,JPN_35453,4,High-income Asia Pacific,High-income
Yamagata,35429,JPN_35429,4,High-income Asia Pacific,High-income
Yamaguchi,35458,JPN_35458,4,High-income Asia Pacific,High-income
Yamanashi,35442,JPN_35442,4,High-income Asia Pacific,High-income
Republic of Korea,68,KOR,3,High-income Asia Pacific,High-income
Singapore,69,SGP,3,High-income Asia Pacific,High-income
High-income North America,100,R16,2,High-income North America,High-income
Canada,101,CAN,3,High-income North America,High-income
Greenland,349,GRL,3,High-income North America,High-income
United States of America,102,USA,3,High-income North America,High-income
Alabama,523,USA_523,4,High-income North America,High-income
Alaska,524,USA_524,4,High-income North America,High-income
Arizona,525,USA_525,4,High-income North America,High-income
Arkansas,526,USA_526,4,High-income North America,High-income
California,527,USA_527,4,High-income North America,High-income
Colorado,528,USA_528,4,High-income North America,High-income
Connecticut,529,USA_529,4,High-income North America,High-income
Delaware,530,USA_530,4,High-income North America,High-income
District of Columbia,531,USA_531,4,High-income North America,High-income
Florida,532,USA_532,4,High-income North America,High-income
Georgia,533,USA_533,4,High-income North America,High-income
Hawaii,534,USA_534,4,High-income North America,High-income
Idaho,535,USA_535,4,High-income North America,High-income
Illinois,536,USA_536,4,High-income North America,High-income
Indiana,537,USA_537,4,High-income North America,High-income
Iowa,538,USA_538,4,High-income North America,High-income
Kansas,539,USA_539,4,High-income North America,High-income
Kentucky,540,USA_540,4,High-income North America,High-income
Louisiana,541,USA_541,4,High-income North America,High-income
Maine,542,USA_542,4,High-income North America,High-income
Maryland,543,USA_543,4,High-income North America,High-income
Massachusetts,544,USA_544,4,High-income North America,High-income
Michigan,545,USA_545,4,High-income North America,High-income
Minnesota,546,USA_546,4,High-income North America,High-income
Mississippi,547,USA_547,4,High-income North America,High-income
Missouri,548,USA_548,4,High-income North America,High-income
Montana,549,USA_549,4,High-income North America,High-income
Nebraska,550,USA_550,4,High-income North America,High-income
Nevada,551,USA_551,4,High-income North America,High-income
New Hampshire,552,USA_552,4,High-income North America,High-income
New Jersey,553,USA_553,4,High-income North America,High-income
New Mexico,554,USA_554,4,High-income North America,High-income
New York,555,USA_555,4,High-income North America,High-income
North Carolina,556,USA_556,4,High-income North America,High-income
North Dakota,557,USA_557,4,High-income North America,High-income
Ohio,558,USA_558,4,High-income North America,High-income
Oklahoma,559,USA_559,4,High-income North America,High-income
Oregon,560,USA_560,4,High-income North America,High-income
Pennsylvania,561,USA_561,4,High-income North America,High-income
Rhode Island,562,USA_562,4,High-income North America,High-income
South Carolina,563,USA_563,4,High-income North America,High-income
South Dakota,564,USA_564,4,High-income North America,High-income
Tennessee,565,USA_565,4,High-income North America,High-income
Texas,566,USA_566,4,High-income North America,High-income
Utah,567,USA_567,4,High-income North America,High-income
Vermont,568,USA_568,4,High-income North America,High-income
Virginia,569,USA_569,4,High-income North America,High-income
Washington,570,USA_570,4,High-income North America,High-income
West Virginia,571,USA_571,4,High-income North America,High-income
Wisconsin,572,USA_572,4,High-income North America,High-income
Wyoming,573,USA_573,4,High-income North America,High-income
Southern Latin America,96,R13,2,Southern Latin America,High-income
Argentina,97,ARG,3,Southern Latin America,High-income
Chile,98,CHL,3,Southern Latin America,High-income
Uruguay,99,URY,3,Southern Latin America,High-income
Western Europe,73,R10,2,Western Europe,High-income
Andorra,74,AND,3,Western Europe,High-income
Austria,75,AUT,3,Western Europe,High-income
Belgium,76,BEL,3,Western Europe,High-income
Cyprus,77,CYP,3,Western Europe,High-income
Denmark,78,DNK,3,Western Europe,High-income
Finland,79,FIN,3,Western Europe,High-income
France,80,FRA,3,Western Europe,High-income
Germany,81,DEU,3,Western Europe,High-income
Greece,82,GRC,3,Western Europe,High-income
Iceland,83,ISL,3,Western Europe,High-income
Ireland,84,IRL,3,Western Europe,High-income
Israel,85,ISR,3,Western Europe,High-income
Italy,86,ITA,3,Western Europe,High-income
Abruzzo,35507,ITA_35507,4,Western Europe,High-income
Basilicata,35511,ITA_35511,4,Western Europe,High-income
Calabria,35512,ITA_35512,4,Western Europe,High-income
Campania,35509,ITA_35509,4,Western Europe,High-income
Emilia-Romagna,35502,ITA_35502,4,Western Europe,High-income
Friuli-Venezia Giulia,35501,ITA_35501,4,Western Europe,High-income
Lazio,35506,ITA_35506,4,Western Europe,High-income
Liguria,35496,ITA_35496,4,Western Europe,High-income
Lombardia,35497,ITA_35497,4,Western Europe,High-income
Marche,35505,ITA_35505,4,Western Europe,High-income
Molise,35508,ITA_35508,4,Western Europe,High-income
Piemonte,35494,ITA_35494,4,Western Europe,High-income
Provincia autonoma di Bolzano,35498,ITA_35498,4,Western Europe,High-income
Provincia autonoma di Trento,35499,ITA_35499,4,Western Europe,High-income
Puglia,35510,ITA_35510,4,Western Europe,High-income
Sardegna,35514,ITA_35514,4,Western Europe,High-income
Sicilia,35513,ITA_35513,4,Western Europe,High-income
Toscana,35503,ITA_35503,4,Western Europe,High-income
Umbria,35504,ITA_35504,4,Western Europe,High-income
Valle d'Aosta,35495,ITA_35495,4,Western Europe,High-income
Veneto,35500,ITA_35500,4,Western Europe,High-income
Luxembourg,87,LUX,3,Western Europe,High-income
Malta,88,MLT,3,Western Europe,High-income
Monaco,367,MCO,3,Western Europe,High-income
Netherlands,89,NLD,3,Western Europe,High-income
Norway,90,NOR,3,Western Europe,High-income
Agder,60133,NOR_60133,4,Western Europe,High-income
Innlandet,60135,NOR_60135,4,Western Europe,High-income
Møre og Romsdal,4923,NOR_4923,4,Western Europe,High-income
Nordland,4926,NOR_4926,4,Western Europe,High-income
Oslo,4910,NOR_4910,4,Western Europe,High-income
Rogaland,4920,NOR_4920,4,Western Europe,High-income
Troms og Finnmark,60137,NOR_60137,4,Western Europe,High-income
Trøndelag,53432,NOR_53432,4,Western Europe,High-income
Vestfold og Telemark,60134,NOR_60134,4,Western Europe,High-income
Vestland,60132,NOR_60132,4,Western Europe,High-income
